Data;date;Dia da Semana;Feriado
25/12/2026;2026-12-25;sexta-feira;Natal
01/01/2027;2027-1-1;sexta-feira;Confraternização Universal
08/02/2027;2027-2-8;segunda-feira;Carnaval
09/02/2027;2027-2-9;terça-feira;Carnaval
26/03/2027;2027-3-26;sexta-feira;Paixão de Cristo
21/04/2027;2027-4-21;quarta-feira;Tiradentes
01/05/2027;2027-5-1;sábado;Dia do Trabalho
27/05/2027;2027-5-27;quinta-feira;Corpus Christi
07/09/2027;2027-9-7;terça-feira;Independência do Brasil
12/10/2027;2027-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2027;2027-11-2;terça-feira;Finados
15/11/2027;2027-11-15;segunda-feira;Proclamação da República
25/12/2027;2027-12-25;sábado;Natal
01/01/2028;2028-1-1;sábado;Confraternização Universal
28/02/2028;2028-2-28;segunda-feira;Carnaval
29/02/2028;2028-2-29;terça-feira;Carnaval
14/04/2028;2028-4-14;sexta-feira;Paixão de Cristo
21/04/2028;2028-4-21;sexta-feira;Tiradentes
01/05/2028;2028-5-1;segunda-feira;Dia do Trabalho
15/06/2028;2028-6-15;quinta-feira;Corpus Christi
07/09/2028;2028-9-7;quinta-feira;Independência do Brasil
12/10/2028;2028-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2028;2028-11-2;quinta-feira;Finados
15/11/2028;2028-11-15;quarta-feira;Proclamação da República
25/12/2028;2028-12-25;segunda-feira;Natal
01/01/2029;2029-1-1;segunda-feira;Confraternização Universal
12/02/2029;2029-2-12;segunda-feira;Carnaval
13/02/2029;2029-2-13;terça-feira;Carnaval
30/03/2029;2029-3-30;sexta-feira;Paixão de Cristo
21/04/2029;2029-4-21;sábado;Tiradentes
01/05/2029;2029-5-1;terça-feira;Dia do Trabalho
31/05/2029;2029-5-31;quinta-feira;Corpus Christi
07/09/2029;2029-9-7;sexta-feira;Independência do Brasil
12/10/2029;2029-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2029;2029-11-2;sexta-feira;Finados
15/11/2029;2029-11-15;quinta-feira;Proclamação da República
25/12/2029;2029-12-25;terça-feira;Natal
01/01/2030;2030-1-1;terça-feira;Confraternização Universal
04/03/2030;2030-3-4;segunda-feira;Carnaval
05/03/2030;2030-3-5;terça-feira;Carnaval
19/04/2030;2030-4-19;sexta-feira;Paixão de Cristo
21/04/2030;2030-4-21;domingo;Tiradentes
01/05/2030;2030-5-1;quarta-feira;Dia do Trabalho
20/06/2030;2030-6-20;quinta-feira;Corpus Christi
07/09/2030;2030-9-7;sábado;Independência do Brasil
12/10/2030;2030-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2030;2030-11-2;sábado;Finados
15/11/2030;2030-11-15;sexta-feira;Proclamação da República
25/12/2030;2030-12-25;quarta-feira;Natal
01/01/2031;2031-1-1;quarta-feira;Confraternização Universal
24/02/2031;2031-2-24;segunda-feira;Carnaval
25/02/2031;2031-2-25;terça-feira;Carnaval
11/04/2031;2031-4-11;sexta-feira;Paixão de Cristo
21/04/2031;2031-4-21;segunda-feira;Tiradentes
01/05/2031;2031-5-1;quinta-feira;Dia do Trabalho
12/06/2031;2031-6-12;quinta-feira;Corpus Christi
07/09/2031;2031-9-7;domingo;Independência do Brasil
12/10/2031;2031-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2031;2031-11-2;domingo;Finados
15/11/2031;2031-11-15;sábado;Proclamação da República
25/12/2031;2031-12-25;quinta-feira;Natal
01/01/2032;2032-1-1;quinta-feira;Confraternização Universal
09/02/2032;2032-2-9;segunda-feira;Carnaval
10/02/2032;2032-2-10;terça-feira;Carnaval
26/03/2032;2032-3-26;sexta-feira;Paixão de Cristo
21/04/2032;2032-4-21;quarta-feira;Tiradentes
01/05/2032;2032-5-1;sábado;Dia do Trabalho
27/05/2032;2032-5-27;quinta-feira;Corpus Christi
07/09/2032;2032-9-7;terça-feira;Independência do Brasil
12/10/2032;2032-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2032;2032-11-2;terça-feira;Finados
15/11/2032;2032-11-15;segunda-feira;Proclamação da República
25/12/2032;2032-12-25;sábado;Natal
01/01/2033;2033-1-1;sábado;Confraternização Universal
28/02/2033;2033-2-28;segunda-feira;Carnaval
01/03/2033;2033-3-1;terça-feira;Carnaval
15/04/2033;2033-4-15;sexta-feira;Paixão de Cristo
21/04/2033;2033-4-21;quinta-feira;Tiradentes
01/05/2033;2033-5-1;domingo;Dia do Trabalho
16/06/2033;2033-6-16;quinta-feira;Corpus Christi
07/09/2033;2033-9-7;quarta-feira;Independência do Brasil
12/10/2033;2033-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2033;2033-11-2;quarta-feira;Finados
15/11/2033;2033-11-15;terça-feira;Proclamação da República
25/12/2033;2033-12-25;domingo;Natal
01/01/2034;2034-1-1;domingo;Confraternização Universal
20/02/2034;2034-2-20;segunda-feira;Carnaval
21/02/2034;2034-2-21;terça-feira;Carnaval
07/04/2034;2034-4-7;sexta-feira;Paixão de Cristo
21/04/2034;2034-4-21;sexta-feira;Tiradentes
01/05/2034;2034-5-1;segunda-feira;Dia do Trabalho
08/06/2034;2034-6-8;quinta-feira;Corpus Christi
07/09/2034;2034-9-7;quinta-feira;Independência do Brasil
12/10/2034;2034-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2034;2034-11-2;quinta-feira;Finados
15/11/2034;2034-11-15;quarta-feira;Proclamação da República
25/12/2034;2034-12-25;segunda-feira;Natal
01/01/2035;2035-1-1;segunda-feira;Confraternização Universal
05/02/2035;2035-2-5;segunda-feira;Carnaval
06/02/2035;2035-2-6;terça-feira;Carnaval
23/03/2035;2035-3-23;sexta-feira;Paixão de Cristo
21/04/2035;2035-4-21;sábado;Tiradentes
01/05/2035;2035-5-1;terça-feira;Dia do Trabalho
24/05/2035;2035-5-24;quinta-feira;Corpus Christi
07/09/2035;2035-9-7;sexta-feira;Independência do Brasil
12/10/2035;2035-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2035;2035-11-2;sexta-feira;Finados
15/11/2035;2035-11-15;quinta-feira;Proclamação da República
25/12/2035;2035-12-25;terça-feira;Natal
01/01/2036;2036-1-1;terça-feira;Confraternização Universal
25/02/2036;2036-2-25;segunda-feira;Carnaval
26/02/2036;2036-2-26;terça-feira;Carnaval
11/04/2036;2036-4-11;sexta-feira;Paixão de Cristo
21/04/2036;2036-4-21;segunda-feira;Tiradentes
01/05/2036;2036-5-1;quinta-feira;Dia do Trabalho
12/06/2036;2036-6-12;quinta-feira;Corpus Christi
07/09/2036;2036-9-7;domingo;Independência do Brasil
12/10/2036;2036-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2036;2036-11-2;domingo;Finados
15/11/2036;2036-11-15;sábado;Proclamação da República
25/12/2036;2036-12-25;quinta-feira;Natal
01/01/2037;2037-1-1;quinta-feira;Confraternização Universal
16/02/2037;2037-2-16;segunda-feira;Carnaval
17/02/2037;2037-2-17;terça-feira;Carnaval
03/04/2037;2037-4-3;sexta-feira;Paixão de Cristo
21/04/2037;2037-4-21;terça-feira;Tiradentes
01/05/2037;2037-5-1;sexta-feira;Dia do Trabalho
04/06/2037;2037-6-4;quinta-feira;Corpus Christi
07/09/2037;2037-9-7;segunda-feira;Independência do Brasil
12/10/2037;2037-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2037;2037-11-2;segunda-feira;Finados
15/11/2037;2037-11-15;domingo;Proclamação da República
25/12/2037;2037-12-25;sexta-feira;Natal
01/01/2038;2038-1-1;sexta-feira;Confraternização Universal
08/03/2038;2038-3-8;segunda-feira;Carnaval
09/03/2038;2038-3-9;terça-feira;Carnaval
21/04/2038;2038-4-21;quarta-feira;Tiradentes
23/04/2038;2038-4-23;sexta-feira;Paixão de Cristo
01/05/2038;2038-5-1;sábado;Dia do Trabalho
24/06/2038;2038-6-24;quinta-feira;Corpus Christi
07/09/2038;2038-9-7;terça-feira;Independência do Brasil
12/10/2038;2038-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2038;2038-11-2;terça-feira;Finados
15/11/2038;2038-11-15;segunda-feira;Proclamação da República
25/12/2038;2038-12-25;sábado;Natal
01/01/2039;2039-1-1;sábado;Confraternização Universal
21/02/2039;2039-2-21;segunda-feira;Carnaval
22/02/2039;2039-2-22;terça-feira;Carnaval
08/04/2039;2039-4-8;sexta-feira;Paixão de Cristo
21/04/2039;2039-4-21;quinta-feira;Tiradentes
01/05/2039;2039-5-1;domingo;Dia do Trabalho
09/06/2039;2039-6-9;quinta-feira;Corpus Christi
07/09/2039;2039-9-7;quarta-feira;Independência do Brasil
12/10/2039;2039-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2039;2039-11-2;quarta-feira;Finados
15/11/2039;2039-11-15;terça-feira;Proclamação da República
25/12/2039;2039-12-25;domingo;Natal
01/01/2040;2040-1-1;domingo;Confraternização Universal
13/02/2040;2040-2-13;segunda-feira;Carnaval
14/02/2040;2040-2-14;terça-feira;Carnaval
30/03/2040;2040-3-30;sexta-feira;Paixão de Cristo
21/04/2040;2040-4-21;sábado;Tiradentes
01/05/2040;2040-5-1;terça-feira;Dia do Trabalho
31/05/2040;2040-5-31;quinta-feira;Corpus Christi
07/09/2040;2040-9-7;sexta-feira;Independência do Brasil
12/10/2040;2040-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2040;2040-11-2;sexta-feira;Finados
15/11/2040;2040-11-15;quinta-feira;Proclamação da República
25/12/2040;2040-12-25;terça-feira;Natal
01/01/2041;2041-1-1;terça-feira;Confraternização Universal
04/03/2041;2041-3-4;segunda-feira;Carnaval
05/03/2041;2041-3-5;terça-feira;Carnaval
19/04/2041;2041-4-19;sexta-feira;Paixão de Cristo
21/04/2041;2041-4-21;domingo;Tiradentes
01/05/2041;2041-5-1;quarta-feira;Dia do Trabalho
20/06/2041;2041-6-20;quinta-feira;Corpus Christi
07/09/2041;2041-9-7;sábado;Independência do Brasil
12/10/2041;2041-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2041;2041-11-2;sábado;Finados
15/11/2041;2041-11-15;sexta-feira;Proclamação da República
25/12/2041;2041-12-25;quarta-feira;Natal
01/01/2042;2042-1-1;quarta-feira;Confraternização Universal
17/02/2042;2042-2-17;segunda-feira;Carnaval
18/02/2042;2042-2-18;terça-feira;Carnaval
04/04/2042;2042-4-4;sexta-feira;Paixão de Cristo
21/04/2042;2042-4-21;segunda-feira;Tiradentes
01/05/2042;2042-5-1;quinta-feira;Dia do Trabalho
05/06/2042;2042-6-5;quinta-feira;Corpus Christi
07/09/2042;2042-9-7;domingo;Independência do Brasil
12/10/2042;2042-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2042;2042-11-2;domingo;Finados
15/11/2042;2042-11-15;sábado;Proclamação da República
25/12/2042;2042-12-25;quinta-feira;Natal
01/01/2043;2043-1-1;quinta-feira;Confraternização Universal
09/02/2043;2043-2-9;segunda-feira;Carnaval
10/02/2043;2043-2-10;terça-feira;Carnaval
27/03/2043;2043-3-27;sexta-feira;Paixão de Cristo
21/04/2043;2043-4-21;terça-feira;Tiradentes
01/05/2043;2043-5-1;sexta-feira;Dia do Trabalho
28/05/2043;2043-5-28;quinta-feira;Corpus Christi
07/09/2043;2043-9-7;segunda-feira;Independência do Brasil
12/10/2043;2043-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2043;2043-11-2;segunda-feira;Finados
15/11/2043;2043-11-15;domingo;Proclamação da República
25/12/2043;2043-12-25;sexta-feira;Natal
01/01/2044;2044-1-1;sexta-feira;Confraternização Universal
29/02/2044;2044-2-29;segunda-feira;Carnaval
01/03/2044;2044-3-1;terça-feira;Carnaval
15/04/2044;2044-4-15;sexta-feira;Paixão de Cristo
21/04/2044;2044-4-21;quinta-feira;Tiradentes
01/05/2044;2044-5-1;domingo;Dia do Trabalho
16/06/2044;2044-6-16;quinta-feira;Corpus Christi
07/09/2044;2044-9-7;quarta-feira;Independência do Brasil
12/10/2044;2044-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2044;2044-11-2;quarta-feira;Finados
15/11/2044;2044-11-15;terça-feira;Proclamação da República
25/12/2044;2044-12-25;domingo;Natal
01/01/2045;2045-1-1;domingo;Confraternização Universal
20/02/2045;2045-2-20;segunda-feira;Carnaval
21/02/2045;2045-2-21;terça-feira;Carnaval
07/04/2045;2045-4-7;sexta-feira;Paixão de Cristo
21/04/2045;2045-4-21;sexta-feira;Tiradentes
01/05/2045;2045-5-1;segunda-feira;Dia do Trabalho
08/06/2045;2045-6-8;quinta-feira;Corpus Christi
07/09/2045;2045-9-7;quinta-feira;Independência do Brasil
12/10/2045;2045-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2045;2045-11-2;quinta-feira;Finados
15/11/2045;2045-11-15;quarta-feira;Proclamação da República
25/12/2045;2045-12-25;segunda-feira;Natal
01/01/2046;2046-1-1;segunda-feira;Confraternização Universal
05/02/2046;2046-2-5;segunda-feira;Carnaval
06/02/2046;2046-2-6;terça-feira;Carnaval
23/03/2046;2046-3-23;sexta-feira;Paixão de Cristo
21/04/2046;2046-4-21;sábado;Tiradentes
01/05/2046;2046-5-1;terça-feira;Dia do Trabalho
24/05/2046;2046-5-24;quinta-feira;Corpus Christi
07/09/2046;2046-9-7;sexta-feira;Independência do Brasil
12/10/2046;2046-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2046;2046-11-2;sexta-feira;Finados
15/11/2046;2046-11-15;quinta-feira;Proclamação da República
25/12/2046;2046-12-25;terça-feira;Natal
01/01/2047;2047-1-1;terça-feira;Confraternização Universal
25/02/2047;2047-2-25;segunda-feira;Carnaval
26/02/2047;2047-2-26;terça-feira;Carnaval
12/04/2047;2047-4-12;sexta-feira;Paixão de Cristo
21/04/2047;2047-4-21;terça-feira;Tiradentes
01/05/2047;2047-5-1;quarta-feira;Dia do Trabalho
13/06/2047;2047-6-13;quinta-feira;Corpus Christi
07/09/2047;2047-9-7;sábado;Independência do Brasil
12/10/2047;2047-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2047;2047-11-2;sábado;Finados
15/11/2047;2047-11-15;sexta-feira;Proclamação da República
25/12/2047;2047-12-25;quarta-feira;Natal
01/01/2048;2048-1-1;quarta-feira;Confraternização Universal
17/02/2048;2048-2-17;segunda-feira;Carnaval
18/02/2048;2048-2-18;terça-feira;Carnaval
03/04/2048;2048-4-3;sexta-feira;Paixão de Cristo
21/04/2048;2048-4-21;terça-feira;Tiradentes
01/05/2048;2048-5-1;sexta-feira;Dia do Trabalho
04/06/2048;2048-6-4;quinta-feira;Corpus Christi
07/09/2048;2048-9-7;segunda-feira;Independência do Brasil
12/10/2048;2048-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2048;2048-11-2;segunda-feira;Finados
15/11/2048;2048-11-15;domingo;Proclamação da República
25/12/2048;2048-12-25;sexta-feira;Natal
01/01/2049;2049-1-1;sexta-feira;Confraternização Universal
01/03/2049;2049-3-1;segunda-feira;Carnaval
02/03/2049;2049-3-2;terça-feira;Carnaval
16/04/2049;2049-4-16;sexta-feira;Paixão de Cristo
21/04/2049;2049-4-21;quarta-feira;Tiradentes
01/05/2049;2049-5-1;sábado;Dia do Trabalho
17/06/2049;2049-6-17;quinta-feira;Corpus Christi
07/09/2049;2049-9-7;terça-feira;Independência do Brasil
12/10/2049;2049-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2049;2049-11-2;terça-feira;Finados
15/11/2049;2049-11-15;segunda-feira;Proclamação da República
25/12/2049;2049-12-25;sábado;Natal
01/01/2050;2050-1-1;sábado;Confraternização Universal
21/02/2050;2050-2-21;segunda-feira;Carnaval
22/02/2050;2050-2-22;terça-feira;Carnaval
08/04/2050;2050-4-8;sexta-feira;Paixão de Cristo
21/04/2050;2050-4-21;quinta-feira;Tiradentes
01/05/2050;2050-5-1;domingo;Dia do Trabalho
09/06/2050;2050-6-9;quinta-feira;Corpus Christi
07/09/2050;2050-9-7;quarta-feira;Independência do Brasil
12/10/2050;2050-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2050;2050-11-2;quarta-feira;Finados
15/11/2050;2050-11-15;terça-feira;Proclamação da República
25/12/2050;2050-12-25;domingo;Natal
01/01/2051;2051-1-1;domingo;Confraternização Universal
13/02/2051;2051-2-13;segunda-feira;Carnaval
14/02/2051;2051-2-14;terça-feira;Carnaval
31/03/2051;2051-3-31;sexta-feira;Paixão de Cristo
21/04/2051;2051-4-21;sexta-feira;Tiradentes
01/05/2051;2051-5-1;segunda-feira;Dia do Trabalho
01/06/2051;2051-6-1;quinta-feira;Corpus Christi
07/09/2051;2051-9-7;quinta-feira;Independência do Brasil
12/10/2051;2051-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2051;2051-11-2;quinta-feira;Finados
15/11/2051;2051-11-15;quarta-feira;Proclamação da República
25/12/2051;2051-12-25;segunda-feira;Natal
01/01/2052;2052-1-1;segunda-feira;Confraternização Universal
04/03/2052;2052-3-4;segunda-feira;Carnaval
05/03/2052;2052-3-5;terça-feira;Carnaval
19/04/2052;2052-4-19;sexta-feira;Paixão de Cristo
21/04/2052;2052-4-21;domingo;Tiradentes
01/05/2052;2052-5-1;quarta-feira;Dia do Trabalho
20/06/2052;2052-6-20;quinta-feira;Corpus Christi
07/09/2052;2052-9-7;sábado;Independência do Brasil
12/10/2052;2052-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2052;2052-11-2;sábado;Finados
15/11/2052;2052-11-15;sexta-feira;Proclamação da República
