Data;date;Dia da Semana;Feriado
25/12/2052;2052-12-25;quarta-feira;Natal
01/01/2053;2053-1-1;quarta-feira;Confraternização Universal
17/02/2053;2053-2-17;segunda-feira;Carnaval
18/02/2053;2053-2-18;terça-feira;Carnaval
04/04/2053;2053-4-4;sexta-feira;Paixão de Cristo
21/04/2053;2053-4-21;segunda-feira;Tiradentes
01/05/2053;2053-5-1;quinta-feira;Dia do Trabalho
05/06/2053;2053-6-5;quinta-feira;Corpus Christi
07/09/2053;2053-9-7;domingo;Independência do Brasil
12/10/2053;2053-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2053;2053-11-2;domingo;Finados
15/11/2053;2053-11-15;sábado;Proclamação da República
25/12/2053;2053-12-25;quinta-feira;Natal
01/01/2054;2054-1-1;quinta-feira;Confraternização Universal
09/02/2054;2054-2-9;segunda-feira;Carnaval
10/02/2054;2054-2-10;terça-feira;Carnaval
27/03/2054;2054-3-27;sexta-feira;Paixão de Cristo
21/04/2054;2054-4-21;terça-feira;Tiradentes
01/05/2054;2054-5-1;sexta-feira;Dia do Trabalho
28/05/2054;2054-5-28;quinta-feira;Corpus Christi
07/09/2054;2054-9-7;segunda-feira;Independência do Brasil
12/10/2054;2054-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2054;2054-11-2;segunda-feira;Finados
15/11/2054;2054-11-15;domingo;Proclamação da República
25/12/2054;2054-12-25;sexta-feira;Natal
01/01/2055;2055-1-1;sexta-feira;Confraternização Universal
01/03/2055;2055-3-1;segunda-feira;Carnaval
02/03/2055;2055-3-2;terça-feira;Carnaval
16/04/2055;2055-4-16;sexta-feira;Paixão de Cristo
21/04/2055;2055-4-21;quarta-feira;Tiradentes
01/05/2055;2055-5-1;sábado;Dia do Trabalho
17/06/2055;2055-6-17;quinta-feira;Corpus Christi
07/09/2055;2055-9-7;terça-feira;Independência do Brasil
12/10/2055;2055-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2055;2055-11-2;terça-feira;Finados
15/11/2055;2055-11-15;segunda-feira;Proclamação da República
25/12/2055;2055-12-25;sábado;Natal
01/01/2056;2056-1-1;sábado;Confraternização Universal
14/02/2056;2056-2-14;segunda-feira;Carnaval
15/02/2056;2056-2-15;terça-feira;Carnaval
31/03/2056;2056-3-31;sexta-feira;Paixão de Cristo
21/04/2056;2056-4-21;sexta-feira;Tiradentes
01/05/2056;2056-5-1;segunda-feira;Dia do Trabalho
01/06/2056;2056-6-1;quinta-feira;Corpus Christi
07/09/2056;2056-9-7;quinta-feira;Independência do Brasil
12/10/2056;2056-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2056;2056-11-2;quinta-feira;Finados
15/11/2056;2056-11-15;quarta-feira;Proclamação da República
25/12/2056;2056-12-25;segunda-feira;Natal
01/01/2057;2057-1-1;segunda-feira;Confraternização Universal
05/03/2057;2057-3-5;segunda-feira;Carnaval
06/03/2057;2057-3-6;terça-feira;Carnaval
20/04/2057;2057-4-20;sexta-feira;Paixão de Cristo
21/04/2057;2057-4-21;sábado;Tiradentes
01/05/2057;2057-5-1;terça-feira;Dia do Trabalho
21/06/2057;2057-6-21;quinta-feira;Corpus Christi
07/09/2057;2057-9-7;sexta-feira;Independência do Brasil
12/10/2057;2057-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2057;2057-11-2;sexta-feira;Finados
15/11/2057;2057-11-15;quinta-feira;Proclamação da República
25/12/2057;2057-12-25;terça-feira;Natal
01/01/2058;2058-1-1;terça-feira;Confraternização Universal
25/02/2058;2058-2-25;segunda-feira;Carnaval
26/02/2058;2058-2-26;terça-feira;Carnaval
12/04/2058;2058-4-12;sexta-feira;Paixão de Cristo
21/04/2058;2058-4-21;domingo;Tiradentes
01/05/2058;2058-5-1;quarta-feira;Dia do Trabalho
13/06/2058;2058-6-13;quinta-feira;Corpus Christi
07/09/2058;2058-9-7;sábado;Independência do Brasil
12/10/2058;2058-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2058;2058-11-2;sábado;Finados
15/11/2058;2058-11-15;sexta-feira;Proclamação da República
25/12/2058;2058-12-25;quarta-feira;Natal
01/01/2059;2059-1-1;quarta-feira;Confraternização Universal
10/02/2059;2059-2-10;segunda-feira;Carnaval
11/02/2059;2059-2-11;terça-feira;Carnaval
28/03/2059;2059-3-28;sexta-feira;Paixão de Cristo
21/04/2059;2059-4-21;segunda-feira;Tiradentes
01/05/2059;2059-5-1;quinta-feira;Dia do Trabalho
29/05/2059;2059-5-29;quinta-feira;Corpus Christi
07/09/2059;2059-9-7;domingo;Independência do Brasil
12/10/2059;2059-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2059;2059-11-2;domingo;Finados
15/11/2059;2059-11-15;sábado;Proclamação da República
25/12/2059;2059-12-25;quinta-feira;Natal
01/01/2060;2060-1-1;quinta-feira;Confraternização Universal
01/03/2060;2060-3-1;segunda-feira;Carnaval
02/03/2060;2060-3-2;terça-feira;Carnaval
16/04/2060;2060-4-16;sexta-feira;Paixão de Cristo
21/04/2060;2060-4-21;quarta-feira;Tiradentes
01/05/2060;2060-5-1;sábado;Dia do Trabalho
17/06/2060;2060-6-17;quinta-feira;Corpus Christi
07/09/2060;2060-9-7;terça-feira;Independência do Brasil
12/10/2060;2060-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2060;2060-11-2;terça-feira;Finados
15/11/2060;2060-11-15;segunda-feira;Proclamação da República
25/12/2060;2060-12-25;sábado;Natal
01/01/2061;2061-1-1;sábado;Confraternização Universal
21/02/2061;2061-2-21;segunda-feira;Carnaval
22/02/2061;2061-2-22;terça-feira;Carnaval
08/04/2061;2061-4-8;sexta-feira;Paixão de Cristo
21/04/2061;2061-4-21;quinta-feira;Tiradentes
01/05/2061;2061-5-1;domingo;Dia do Trabalho
09/06/2061;2061-6-9;quinta-feira;Corpus Christi
07/09/2061;2061-9-7;quarta-feira;Independência do Brasil
12/10/2061;2061-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2061;2061-11-2;quarta-feira;Finados
15/11/2061;2061-11-15;terça-feira;Proclamação da República
25/12/2061;2061-12-25;domingo;Natal
01/01/2062;2062-1-1;domingo;Confraternização Universal
06/02/2062;2062-2-6;segunda-feira;Carnaval
07/02/2062;2062-2-7;terça-feira;Carnaval
24/03/2062;2062-3-24;sexta-feira;Paixão de Cristo
21/04/2062;2062-4-21;sexta-feira;Tiradentes
01/05/2062;2062-5-1;segunda-feira;Dia do Trabalho
25/05/2062;2062-5-25;quinta-feira;Corpus Christi
07/09/2062;2062-9-7;quinta-feira;Independência do Brasil
12/10/2062;2062-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2062;2062-11-2;quinta-feira;Finados
15/11/2062;2062-11-15;quarta-feira;Proclamação da República
25/12/2062;2062-12-25;segunda-feira;Natal
01/01/2063;2063-1-1;segunda-feira;Confraternização Universal
26/02/2063;2063-2-26;segunda-feira;Carnaval
27/02/2063;2063-2-27;terça-feira;Carnaval
13/04/2063;2063-4-13;sexta-feira;Paixão de Cristo
21/04/2063;2063-4-21;sábado;Tiradentes
01/05/2063;2063-5-1;terça-feira;Dia do Trabalho
14/06/2063;2063-6-14;quinta-feira;Corpus Christi
07/09/2063;2063-9-7;sexta-feira;Independência do Brasil
12/10/2063;2063-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2063;2063-11-2;sexta-feira;Finados
15/11/2063;2063-11-15;quinta-feira;Proclamação da República
25/12/2063;2063-12-25;terça-feira;Natal
01/01/2064;2064-1-1;terça-feira;Confraternização Universal
18/02/2064;2064-2-18;segunda-feira;Carnaval
19/02/2064;2064-2-19;terça-feira;Carnaval
04/04/2064;2064-4-4;sexta-feira;Paixão de Cristo
21/04/2064;2064-4-21;segunda-feira;Tiradentes
01/05/2064;2064-5-1;quinta-feira;Dia do Trabalho
05/06/2064;2064-6-5;quinta-feira;Corpus Christi
07/09/2064;2064-9-7;domingo;Independência do Brasil
12/10/2064;2064-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2064;2064-11-2;domingo;Finados
15/11/2064;2064-11-15;sábado;Proclamação da República
25/12/2064;2064-12-25;quinta-feira;Natal
01/01/2065;2065-1-1;quinta-feira;Confraternização Universal
09/02/2065;2065-2-9;segunda-feira;Carnaval
10/02/2065;2065-2-10;terça-feira;Carnaval
27/03/2065;2065-3-27;sexta-feira;Paixão de Cristo
21/04/2065;2065-4-21;terça-feira;Tiradentes
01/05/2065;2065-5-1;sexta-feira;Dia do Trabalho
28/05/2065;2065-5-28;quinta-feira;Corpus Christi
07/09/2065;2065-9-7;segunda-feira;Independência do Brasil
12/10/2065;2065-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2065;2065-11-2;segunda-feira;Finados
15/11/2065;2065-11-15;domingo;Proclamação da República
25/12/2065;2065-12-25;sexta-feira;Natal
01/01/2066;2066-1-1;sexta-feira;Confraternização Universal
22/02/2066;2066-2-22;segunda-feira;Carnaval
23/02/2066;2066-2-23;terça-feira;Carnaval
09/04/2066;2066-4-9;sexta-feira;Paixão de Cristo
21/04/2066;2066-4-21;quarta-feira;Tiradentes
01/05/2066;2066-5-1;sábado;Dia do Trabalho
10/06/2066;2066-6-10;quinta-feira;Corpus Christi
07/09/2066;2066-9-7;terça-feira;Independência do Brasil
12/10/2066;2066-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2066;2066-11-2;terça-feira;Finados
15/11/2066;2066-11-15;segunda-feira;Proclamação da República
25/12/2066;2066-12-25;sábado;Natal
01/01/2067;2067-1-1;sábado;Confraternização Universal
14/02/2067;2067-2-14;segunda-feira;Carnaval
15/02/2067;2067-2-15;terça-feira;Carnaval
01/04/2067;2067-4-1;sexta-feira;Paixão de Cristo
21/04/2067;2067-4-21;quinta-feira;Tiradentes
01/05/2067;2067-5-1;domingo;Dia do Trabalho
02/06/2067;2067-6-2;quinta-feira;Corpus Christi
07/09/2067;2067-9-7;quarta-feira;Independência do Brasil
12/10/2067;2067-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2067;2067-11-2;quarta-feira;Finados
15/11/2067;2067-11-15;terça-feira;Proclamação da República
25/12/2067;2067-12-25;domingo;Natal
01/01/2068;2068-1-1;domingo;Confraternização Universal
05/03/2068;2068-3-5;segunda-feira;Carnaval
06/03/2068;2068-3-6;terça-feira;Carnaval
20/04/2068;2068-4-20;sexta-feira;Paixão de Cristo
21/04/2068;2068-4-21;sábado;Tiradentes
01/05/2068;2068-5-1;terça-feira;Dia do Trabalho
21/06/2068;2068-6-21;quinta-feira;Corpus Christi
07/09/2068;2068-9-7;sexta-feira;Independência do Brasil
12/10/2068;2068-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2068;2068-11-2;sexta-feira;Finados
15/11/2068;2068-11-15;quinta-feira;Proclamação da República
25/12/2068;2068-12-25;terça-feira;Natal
01/01/2069;2069-1-1;terça-feira;Confraternização Universal
25/02/2069;2069-2-25;segunda-feira;Carnaval
26/02/2069;2069-2-26;terça-feira;Carnaval
12/04/2069;2069-4-12;sexta-feira;Paixão de Cristo
21/04/2069;2069-4-21;domingo;Tiradentes
01/05/2069;2069-5-1;quarta-feira;Dia do Trabalho
13/06/2069;2069-6-13;quinta-feira;Corpus Christi
07/09/2069;2069-9-7;sábado;Independência do Brasil
12/10/2069;2069-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2069;2069-11-2;sábado;Finados
15/11/2069;2069-11-15;sexta-feira;Proclamação da República
25/12/2069;2069-12-25;quarta-feira;Natal
01/01/2070;2070-1-1;quarta-feira;Confraternização Universal
10/02/2070;2070-2-10;segunda-feira;Carnaval
11/02/2070;2070-2-11;terça-feira;Carnaval
28/03/2070;2070-3-28;sexta-feira;Paixão de Cristo
21/04/2070;2070-4-21;segunda-feira;Tiradentes
01/05/2070;2070-5-1;quinta-feira;Dia do Trabalho
29/05/2070;2070-5-29;quinta-feira;Corpus Christi
07/09/2070;2070-9-7;domingo;Independência do Brasil
12/10/2070;2070-10-12;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2070;2070-11-2;domingo;Finados
15/11/2070;2070-11-15;sábado;Proclamação da República
25/12/2070;2070-12-25;quinta-feira;Natal
01/01/2071;2071-1-1;quinta-feira;Confraternização Universal
02/03/2071;2071-3-2;segunda-feira;Carnaval
03/03/2071;2071-3-3;terça-feira;Carnaval
17/04/2071;2071-4-17;sexta-feira;Paixão de Cristo
21/04/2071;2071-4-21;terça-feira;Tiradentes
01/05/2071;2071-5-1;sexta-feira;Dia do Trabalho
18/06/2071;2071-6-18;quinta-feira;Corpus Christi
07/09/2071;2071-9-7;segunda-feira;Independência do Brasil
12/10/2071;2071-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2071;2071-11-2;segunda-feira;Finados
15/11/2071;2071-11-15;domingo;Proclamação da República
25/12/2071;2071-12-25;sexta-feira;Natal
01/01/2072;2072-1-1;sexta-feira;Confraternização Universal
22/02/2072;2072-2-22;segunda-feira;Carnaval
23/02/2072;2072-2-23;terça-feira;Carnaval
08/04/2072;2072-4-8;sexta-feira;Paixão de Cristo
21/04/2072;2072-4-21;quinta-feira;Tiradentes
01/05/2072;2072-5-1;domingo;Dia do Trabalho
09/06/2072;2072-6-9;quinta-feira;Corpus Christi
07/09/2072;2072-9-7;quarta-feira;Independência do Brasil
12/10/2072;2072-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2072;2072-11-2;quarta-feira;Finados
15/11/2072;2072-11-15;terça-feira;Proclamação da República
25/12/2072;2072-12-25;domingo;Natal
01/01/2073;2073-1-1;domingo;Confraternização Universal
06/02/2073;2073-2-6;segunda-feira;Carnaval
07/02/2073;2073-2-7;terça-feira;Carnaval
24/03/2073;2073-3-24;sexta-feira;Paixão de Cristo
21/04/2073;2073-4-21;sexta-feira;Tiradentes
01/05/2073;2073-5-1;segunda-feira;Dia do Trabalho
25/05/2073;2073-5-25;quinta-feira;Corpus Christi
07/09/2073;2073-9-7;quinta-feira;Independência do Brasil
12/10/2073;2073-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2073;2073-11-2;quinta-feira;Finados
15/11/2073;2073-11-15;quarta-feira;Proclamação da República
25/12/2073;2073-12-25;segunda-feira;Natal
01/01/2074;2074-1-1;segunda-feira;Confraternização Universal
26/02/2074;2074-2-26;segunda-feira;Carnaval
27/02/2074;2074-2-27;terça-feira;Carnaval
13/04/2074;2074-4-13;sexta-feira;Paixão de Cristo
21/04/2074;2074-4-21;sábado;Tiradentes
01/05/2074;2074-5-1;terça-feira;Dia do Trabalho
14/06/2074;2074-6-14;quinta-feira;Corpus Christi
07/09/2074;2074-9-7;sexta-feira;Independência do Brasil
12/10/2074;2074-10-12;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2074;2074-11-2;sexta-feira;Finados
15/11/2074;2074-11-15;quinta-feira;Proclamação da República
25/12/2074;2074-12-25;terça-feira;Natal
01/01/2075;2075-1-1;terça-feira;Confraternização Universal
18/02/2075;2075-2-18;segunda-feira;Carnaval
19/02/2075;2075-2-19;terça-feira;Carnaval
05/04/2075;2075-4-5;sexta-feira;Paixão de Cristo
21/04/2075;2075-4-21;domingo;Tiradentes
01/05/2075;2075-5-1;quarta-feira;Dia do Trabalho
06/06/2075;2075-6-6;quinta-feira;Corpus Christi
07/09/2075;2075-9-7;sábado;Independência do Brasil
12/10/2075;2075-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2075;2075-11-2;sábado;Finados
15/11/2075;2075-11-15;sexta-feira;Proclamação da República
25/12/2075;2075-12-25;quarta-feira;Natal
01/01/2076;2076-1-1;quarta-feira;Confraternização Universal
02/03/2076;2076-3-2;segunda-feira;Carnaval
03/03/2076;2076-3-3;terça-feira;Carnaval
17/04/2076;2076-4-17;sexta-feira;Paixão de Cristo
21/04/2076;2076-4-21;terça-feira;Tiradentes
01/05/2076;2076-5-1;sexta-feira;Dia do Trabalho
18/06/2076;2076-6-18;quinta-feira;Corpus Christi
07/09/2076;2076-9-7;segunda-feira;Independência do Brasil
12/10/2076;2076-10-12;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2076;2076-11-2;segunda-feira;Finados
15/11/2076;2076-11-15;domingo;Proclamação da República
25/12/2076;2076-12-25;sexta-feira;Natal
01/01/2077;2077-1-1;sexta-feira;Confraternização Universal
22/02/2077;2077-2-22;segunda-feira;Carnaval
23/02/2077;2077-2-23;terça-feira;Carnaval
09/04/2077;2077-4-9;sexta-feira;Paixão de Cristo
21/04/2077;2077-4-21;quarta-feira;Tiradentes
01/05/2077;2077-5-1;sábado;Dia do Trabalho
10/06/2077;2077-6-10;quinta-feira;Corpus Christi
07/09/2077;2077-9-7;terça-feira;Independência do Brasil
12/10/2077;2077-10-12;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2077;2077-11-2;terça-feira;Finados
15/11/2077;2077-11-15;segunda-feira;Proclamação da República
25/12/2077;2077-12-25;sábado;Natal
01/01/2078;2078-1-1;terça-feira;Confraternização Universal
14/02/2078;2078-2-14;segunda-feira;Carnaval
15/02/2078;2078-2-15;terça-feira;Carnaval
01/04/2078;2078-4-1;sexta-feira;Paixão de Cristo
21/04/2078;2078-4-21;quinta-feira;Tiradentes
01/05/2078;2078-5-1;quarta-feira;Dia do Trabalho
02/06/2078;2078-6-2;quinta-feira;Corpus Christi
07/09/2078;2078-9-7;quarta-feira;Independência do Brasil
12/10/2078;2078-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2078;2078-11-2;quarta-feira;Finados
15/11/2078;2078-11-15;terça-feira;Proclamação da República
25/12/2078;2078-12-25;quarta-feira;Natal